Spread         Latency        Misalignment
-0.40          2327           569            
2.30           2320           548            
2.30           2323           566            
8.80           2321           560            
5.70           2321           548            
2.60           2322           537            
3.50           2321           541            
0.50           2323           536            
4.30           2337           532            
-1.70          2324           523            
1.20           2323           524            
4.10           2321           517            
0.50           2319           509            
3.50           2328           617            
0.80           2448           501            
0.10           2388           612            
2.60           2321           504            
0.40           2323           499            
-4.10          2322           611            
1.40           2325           491            
-1.00          2324           152            
1.20           2323           262            
-1.60          2319           253            
4.80           2515           -192           
2.00           2330           148            
0.60           3118           -750           
-0.40          2346           230            
0.90           2531           -208           

